test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v0.8.28,nbody_6.js 50000000,0.99,0.34,0.63,0.33,0.03,0.02,6.10,2.88,0.02,4.76,2.16,21073544973 ns,85363131844,4.022 GHz,248624296899,2.92,21217.88 msec,1.007,85570479554,4.032 GHz,21,39727276842,503125792,21225.98 msec,1.007,37 C,59293580616,195713525,0.33%,0,21924362410,5613,5613,0,2656796766,583715417,21.971,70022231073,1578524823,2.25%,15955779,150999,0.95%,26559234,69846290315,664324,0.00%,284142,490437,172.60%,0,0
2,v0.8.28,nbody_6.js 50000000,0.99,0.33,0.65,0.31,0.02,0.02,6.22,3.00,0.02,4.77,2.12,20882535417 ns,82437463534,3.919 GHz,243733588482,2.95,21031.66 msec,1.007,82413176198,3.918 GHz,40,38846680489,492926145,21040.37 msec,1.008,30 C,58167109034,176682669,0.30%,0,21883143405,5621,5621,0,2732953940,607276968,22.221,70125835848,1576903512,2.25%,22465331,169157,0.75%,68988396,70036512315,617045,0.00%,434765,321579,73.97%,0,0
3,v0.8.28,nbody_6.js 50000000,0.98,0.35,0.62,0.33,0.03,0.02,6.11,2.91,0.01,4.63,2.08,21848594624 ns,85239762268,3.872 GHz,248087134604,2.91,22012.31 msec,1.007,85430999202,3.880 GHz,29,41199603329,521682168,22020.84 msec,1.008,32 C,59579518777,196373909,0.33%,0,22027006966,5615,5615,0,2635904291,585429316,22.210,70095874745,1578555055,2.25%,19737285,167476,0.85%,64739470,69272826301,921687,0.00%,573054,576730,100.64%,0,0
4,v0.8.28,nbody_6.js 50000000,0.98,0.33,0.65,0.31,0.02,0.02,6.19,3.00,0.01,4.65,2.05,21674223411 ns,82674642624,3.786 GHz,246637691805,2.97,21834.75 msec,1.007,82568894137,3.781 GHz,29,40296429298,511126266,21842.49 msec,1.008,31 C,58685514018,178251311,0.30%,0,21861649682,5612,5612,0,2840117657,607845251,21.402,69841178021,1577494310,2.26%,17777753,130914,0.74%,31268041,70016996671,740448,0.00%,865108,445422,51.49%,0,0
5,v0.8.28,nbody_6.js 50000000,0.99,0.33,0.65,0.31,0.03,0.02,6.23,3.02,0.00,4.39,1.91,22976762045 ns,82622134098,3.567 GHz,248527103103,3.01,23160.44 msec,1.008,82637139027,3.567 GHz,27,43278269060,547725695,23170.71 msec,1.008,51 C,58887910278,170545731,0.29%,0,21743975542,5619,5619,0,2838165291,613193240,21.605,69281968282,1576756317,2.28%,21363992,136289,0.64%,20280013,69683179732,470454,0.00%,500874,726083,144.96%,0,0
6,v0.8.28,nbody_6.js 50000000,1.00,0.33,0.65,0.31,0.03,0.02,6.21,2.91,0.03,3.88,1.70,25542591841 ns,83037651387,3.222 GHz,245928662914,2.96,25769.86 msec,1.009,82231653212,3.190 GHz,25,48138914192,611436327,25782.12 msec,1.009,58 C,58361040541,178570341,0.31%,0,22136579243,5615,5615,0,2754609649,574950379,20.872,70680385787,1590085804,2.25%,14267979,103553,0.73%,16607011,70663737635,4579253,0.01%,95361,135486,142.08%,0,0
7,v0.8.28,nbody_6.js 50000000,0.99,0.34,0.63,0.32,0.03,0.02,6.12,2.93,0.01,3.87,1.71,26164805288 ns,85140484404,3.226 GHz,248649258366,2.92,26383.38 msec,1.008,84940138070,3.219 GHz,17,49378334312,624776216,26395.83 msec,1.009,55 C,57814087196,207295008,0.36%,0,21928076352,5608,5608,0,2771642049,608594206,21.958,70583713252,1589022751,2.25%,14506603,177553,1.22%,14649562,70608489120,775021,0.00%,75813,625367,824.88%,0,0
8,v0.8.28,nbody_6.js 50000000,0.99,0.34,0.63,0.32,0.03,0.02,6.12,2.93,0.00,3.88,1.71,26112777449 ns,85456026198,3.244 GHz,249770298313,2.94,26334.75 msec,1.009,85115921528,3.231 GHz,49,49726422210,626678428,26346.86 msec,1.009,55 C,58870137334,198925626,0.34%,0,21947801718,5616,5616,0,2683902872,606482852,22.597,69565751456,1578564969,2.27%,20300523,202452,1.00%,30892733,69102344346,1651330,0.00%,80393,834248,1037.71%,0,0
9,v0.8.28,nbody_6.js 50000000,1.00,0.34,0.63,0.32,0.03,0.02,6.12,2.93,0.01,3.89,1.71,26038081725 ns,85349692401,3.250 GHz,251228624212,2.94,26258.51 msec,1.008,85460655759,3.254 GHz,37,48908162092,619598294,26270.93 msec,1.009,59 C,57866049624,201585351,0.35%,0,21412597598,5625,5625,0,2721476804,596167638,21.906,69758848764,1581153787,2.27%,16101056,95079,0.59%,25129028,70183476656,990250,0.00%,72127,387370,537.07%,0,0
10,v0.8.28,nbody_6.js 50000000,1.00,0.34,0.63,0.32,0.03,0.02,6.08,2.87,0.02,3.86,1.71,26135967736 ns,85237750504,3.233 GHz,249834810951,2.94,26355.53 msec,1.008,84860755244,3.219 GHz,44,49475913441,627510092,26367.66 msec,1.009,58 C,58688503516,202035289,0.34%,0,21911709710,5615,5615,0,2751738479,613237429,22.285,70567660285,1585378848,2.25%,15059772,148498,0.99%,13831450,70659918735,261744,0.00%,112942,337381,298.72%,0,0
