test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.33,5.82,1.66,0.03,1.15,2.16,28419668604 ns,115775019144,4.074 GHz,193029662449,1.67,28417.63 msec,1.000,115778043922,4.074 GHz,16,53683678899,679586165,28417.64 msec,1.000,13 C,37271858382,31761417,0.09%,0,55083456053,621744,621744,0,814564075,257872799,31.658,76046692017,507587256,0.67%,15637997,3914089,25.03%,13005525,75910184985,1838913,0.00%,62029,1083132,1746.17%,0,0
2,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.53,0.13,0.01,0.32,5.82,1.67,0.02,1.12,2.15,28590780628 ns,116278125118,4.068 GHz,193192140912,1.66,28586.95 msec,1.000,116327621425,4.069 GHz,8,54019772486,683841165,28586.95 msec,1.000,12 C,37238384969,31786878,0.09%,0,55052279324,621745,621745,0,741324831,235389056,31.752,75834400789,500061256,0.66%,14563923,3984679,27.36%,14492578,75769602871,1848461,0.00%,54266,1171996,2159.72%,0,0
3,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.33,5.81,1.66,0.02,1.14,2.16,28418124833 ns,115809285768,4.076 GHz,193001793343,1.67,28415.85 msec,1.000,115805960159,4.075 GHz,7,53688861440,679682093,28415.88 msec,1.000,10 C,37310094033,31718003,0.09%,0,55092170610,621745,621745,0,797342145,264416093,33.162,76008633658,504480683,0.66%,14912998,3880678,26.02%,14236635,75889162432,1849582,0.00%,61719,1161079,1881.23%,0,0
4,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.32,5.81,1.66,0.03,1.15,2.16,28415479114 ns,115781589773,4.075 GHz,193074962334,1.67,28413.56 msec,1.000,115784075794,4.075 GHz,16,53698116974,679750596,28413.52 msec,1.000,8 C,37300939501,31517922,0.08%,0,55151737688,621744,621744,0,807674597,254436836,31.502,76043778470,512038287,0.67%,14835022,3874439,26.12%,13317543,75883919252,1835442,0.00%,55217,1089581,1973.27%,0,0
5,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.32,5.82,1.67,0.03,1.15,2.15,28461792464 ns,115804356129,4.069 GHz,192970847805,1.67,28458.56 msec,1.000,115866683271,4.071 GHz,5,53786119525,680837490,28458.61 msec,1.000,9 C,37189895726,32112998,0.09%,0,55144126831,621744,621744,0,757465488,247471496,32.671,75788029241,509241075,0.67%,14865629,3983162,26.79%,14426933,75939574430,1809349,0.00%,66627,1083829,1626.71%,0,0
6,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.33,5.81,1.67,0.02,1.14,2.15,28416516646 ns,115601686460,4.068 GHz,192911413192,1.67,28414.43 msec,1.000,115643314463,4.070 GHz,9,53702937816,679802800,28414.42 msec,1.000,8 C,37190827508,31366057,0.08%,0,55169448377,621744,621744,0,781338957,242460456,31.031,75911124501,512765219,0.68%,15711098,4166775,26.52%,13764052,76015693734,1862397,0.00%,50247,1088509,2166.32%,0,0
7,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.32,5.81,1.67,0.02,1.14,2.15,28429089970 ns,115676398337,4.069 GHz,192959398838,1.67,28426.44 msec,1.000,115731042534,4.071 GHz,3,53718284967,679932625,28426.47 msec,1.000,10 C,37181101435,31271689,0.08%,0,55129719599,621743,621743,0,780624158,246006579,31.514,75921999322,514708644,0.68%,15653189,4542915,29.02%,13970170,76059920896,1883033,0.00%,49781,1068224,2145.85%,0,0
8,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.32,5.82,1.67,0.02,1.16,2.15,28383730391 ns,115525925953,4.071 GHz,193348814406,1.67,28381.11 msec,1.000,115564225748,4.072 GHz,7,53636934766,678873496,28381.12 msec,1.000,9 C,37265974139,31408379,0.08%,0,55145562848,621744,621744,0,789536154,232443243,29.440,75909500041,506180374,0.67%,16533771,4116451,24.90%,13668710,75832698539,1752319,0.00%,65816,1083596,1646.40%,0,0
9,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.32,5.83,1.68,0.02,1.15,2.15,28368056174 ns,115408939550,4.069 GHz,193293286089,1.67,28365.95 msec,1.000,115457441704,4.070 GHz,7,53599132308,678550919,28365.97 msec,1.000,8 C,37290506922,31470586,0.08%,0,55215938434,621746,621746,0,765946426,229258306,29.931,75699602074,503700199,0.67%,13916124,3770065,27.09%,15355063,75750500230,1748571,0.00%,55117,1203431,2183.41%,0,0
10,g++-4.4 4.4.7,binaryTrees_6.c 21,1.00,0.60,0.54,0.13,0.01,0.32,5.83,1.66,0.03,1.14,2.16,28449440581 ns,115935712406,4.076 GHz,193298050422,1.67,28446.36 msec,1.000,115980066391,4.077 GHz,4,53776151983,680672143,28446.40 msec,1.000,8 C,37239554211,32132570,0.09%,0,55192305653,621744,621744,0,772339973,243386872,31.513,75875551155,506963092,0.67%,15122172,4111892,27.19%,13607550,75932887507,1816684,0.00%,68314,1077419,1577.16%,0,0
