test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v0.8.28,binaryTrees_7.js 21,0.99,0.44,0.55,0.15,0.02,0.30,6.78,2.25,0.06,5.72,2.16,21164320299 ns,86038314643,4.041 GHz,196249447085,2.27,21285.46 msec,1.006,85898093357,4.035 GHz,28,39800174935,504872091,21292.58 msec,1.006,44 C,36718636908,53894496,0.15%,0,29454243694,1161963,1161963,0,3846468481,2160562302,56.170,52181575475,1943655173,3.72%,218679138,105312657,48.16%,54475230,52139345063,19313167,0.04%,85998,701844,816.12%,0,0
2,v0.8.28,binaryTrees_7.js 21,0.99,0.44,0.54,0.15,0.02,0.29,6.82,2.29,0.05,5.74,2.14,21427292809 ns,86237918042,4.001 GHz,193622818967,2.24,21553.28 msec,1.006,85992087240,3.989 GHz,24,40097924928,507970697,21559.92 msec,1.006,9 C,36654398589,50193742,0.14%,0,29739589307,1161964,1161964,0,3910218421,2204850565,56.387,52658332154,1950531423,3.70%,224192822,108343696,48.33%,62068986,51934075179,18584101,0.04%,298626,1115942,373.69%,0,0
3,v0.8.28,binaryTrees_7.js 21,0.98,0.44,0.54,0.15,0.02,0.28,6.82,2.28,0.04,5.79,2.12,21703747713 ns,86153378222,3.947 GHz,195370052928,2.26,21823.38 msec,1.006,86206704969,3.950 GHz,21,40728647808,515945682,21829.92 msec,1.006,7 C,36872338216,46414034,0.13%,0,29912675355,1161963,1161963,0,3957968107,2238054546,56.546,52545112492,1960299598,3.73%,227053489,105164312,46.32%,69363192,51951123359,18572328,0.04%,505125,1836950,363.66%,0,0
4,v0.8.28,binaryTrees_7.js 21,0.98,0.44,0.54,0.14,0.02,0.30,6.90,2.25,0.05,5.71,2.12,21638224495 ns,85988486585,3.952 GHz,194222601490,2.26,21753.05 msec,1.005,85946300345,3.950 GHz,49,40528082846,513464257,21759.92 msec,1.006,32 C,36507200954,51896291,0.14%,0,29229655416,1158046,1158046,0,3919584798,2327603236,59.384,51434402709,1934735930,3.76%,227989948,115114640,50.49%,56650577,51844979592,21521834,0.04%,286794,1123518,391.75%,0,0
5,v0.8.28,binaryTrees_7.js 21,0.99,0.43,0.55,0.14,0.02,0.28,6.91,2.32,0.05,5.69,2.10,21620357233 ns,84996941343,3.907 GHz,194559219772,2.28,21752.90 msec,1.006,85174438177,3.915 GHz,41,40509855620,512746907,21760.20 msec,1.006,36 C,36701443678,50776522,0.14%,0,29689224896,1161963,1161963,0,3915401140,2207349635,56.376,52374520055,1939675760,3.70%,227181289,108762672,47.87%,42623329,52347513722,17375221,0.03%,228245,956534,419.08%,0,0
6,v0.8.28,binaryTrees_7.js 21,0.99,0.45,0.54,0.14,0.02,0.31,6.90,2.25,0.06,5.74,2.15,21252606932 ns,86005144757,4.025 GHz,192899481075,2.23,21364.07 msec,1.005,86369610512,4.042 GHz,45,40134362602,505814446,21370.51 msec,1.006,31 C,36353696949,53770252,0.15%,0,29225716567,1158300,1158300,0,3928566864,2340653755,59.580,51614296662,1956407880,3.79%,223958760,116531543,52.03%,27518211,51726096086,20675082,0.04%,108244,798490,737.68%,0,0
7,v0.8.28,binaryTrees_7.js 21,0.98,0.43,0.55,0.14,0.02,0.29,6.91,2.35,0.04,5.72,2.08,21776689261 ns,85210061062,3.889 GHz,193905722797,2.28,21908.82 msec,1.006,85319686505,3.894 GHz,38,41059695797,519974465,21916.26 msec,1.006,28 C,37239459328,47125573,0.13%,0,29437534226,1161965,1161965,0,3949531423,2186749816,55.367,51967630505,1940591013,3.73%,226955798,110239699,48.57%,38250723,51721494856,19124614,0.04%,219260,1078933,492.08%,0,0
8,v0.8.28,binaryTrees_7.js 21,0.99,0.42,0.56,0.14,0.02,0.27,6.93,2.39,0.05,5.15,1.80,24035539180 ns,82496263003,3.409 GHz,196542596436,2.39,24198.33 msec,1.007,82575697717,3.412 GHz,26,45763890685,579425818,24207.12 msec,1.007,55 C,37011782658,48056049,0.13%,0,29589866843,1161965,1161965,0,3936251743,2212903131,56.219,51709327685,1904279508,3.68%,221764190,101350906,45.70%,56596324,51754707092,18525019,0.04%,64171,864436,1347.08%,0,0
9,v0.8.28,binaryTrees_7.js 21,1.00,0.42,0.56,0.15,0.02,0.27,6.86,2.35,0.07,5.13,1.79,24366243724 ns,82086612438,3.346 GHz,194550244564,2.35,24527.64 msec,1.007,82518190717,3.364 GHz,15,46316290235,586462887,24536.61 msec,1.007,56 C,36774855551,49327016,0.13%,0,30074099036,1161962,1161962,0,4015763237,2229096477,55.509,52234280709,1951777870,3.74%,226207524,106390242,47.03%,52042923,52229685867,18096861,0.03%,32558,763626,2345.43%,0,0
10,v0.8.28,binaryTrees_7.js 21,1.00,0.42,0.56,0.16,0.02,0.25,6.78,2.32,0.06,5.04,1.79,24566547697 ns,83915788379,3.393 GHz,195804963851,2.34,24726.57 msec,1.007,83900917702,3.393 GHz,14,46643731205,588921787,24735.92 msec,1.007,56 C,36716132165,49158607,0.13%,0,29831319289,1161965,1161965,0,3994348654,2238985558,56.054,52338097520,1939770976,3.71%,216173649,103748502,47.99%,60925992,52328502171,18740732,0.04%,86250,894770,1037.41%,0,0
