test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.6.15,binarytrees.py 21,1.00,0.74,0.34,0.17,0.02,0.47,3.16,1.35,0.01,4.41,1.29,105593809454 ns,1496273524772,2.433 GHz,2011833619756,1.34,615074.08 msec,5.825,1496297219951,2.433 GHz,66,1160640744626,14691595804,615077.30 msec,5.825,2262 C,395413241107,2338671601,0.59%,0,331521218449,3539036,3539036,0,6845868001,2585324700,37.765,622650743641,7253231798,1.16%,367209484,135529505,36.91%,584593011,623189617741,16507928,0.00%,46398240,224347566,483.53%,0,192
2,Python 3.6.15,binarytrees.py 21,1.00,0.74,0.34,0.17,0.02,0.47,3.16,1.35,0.01,3.76,1.00,127355755209 ns,1478112941648,1.890 GHz,1990457978805,1.35,781869.76 msec,6.139,1477750127682,1.890 GHz,89,1475929487492,18685995647,781874.42 msec,6.139,1667 C,390338034914,2165377732,0.55%,0,332088113306,3539010,3539010,0,6495611183,2612823279,40.224,620043176468,7482573296,1.21%,351033803,136199636,38.80%,611456594,619436533179,16335313,0.00%,4928613,223803852,4540.91%,0,226
3,Python 3.6.15,binarytrees.py 21,1.00,0.75,0.34,0.17,0.02,0.47,3.15,1.34,0.01,3.67,1.00,126475933231 ns,1480220493569,1.890 GHz,1981884003541,1.34,783118.69 msec,6.192,1480305853048,1.890 GHz,90,1478515953919,18718837511,783124.66 msec,6.192,1740 C,388169938988,2383263246,0.61%,0,332012043746,3539003,3539003,0,6880043888,2609915572,37.935,618198801343,7231781767,1.17%,368676875,132970644,36.07%,617060998,617640968974,16337133,0.00%,35933570,233867177,650.83%,0,281
4,Python 3.6.15,binarytrees.py 21,1.00,0.75,0.34,0.17,0.02,0.47,3.15,1.34,0.01,3.95,1.00,126646025683 ns,1475142624193,1.888 GHz,1981477007277,1.34,781163.14 msec,6.168,1475146952338,1.888 GHz,91,1474571507588,18668906610,781168.16 msec,6.168,1736 C,387887224876,2170059595,0.56%,0,331842412042,3538988,3538988,0,6657692374,2629659392,39.498,617735962302,7833990487,1.27%,361245246,137409613,38.04%,617855186,617674459438,17781325,0.00%,4332051,223238293,5153.18%,0,226
5,Python 3.6.15,binarytrees.py 21,1.00,0.75,0.33,0.17,0.02,0.47,3.14,1.33,0.01,3.50,1.00,127486178894 ns,1487208344904,1.891 GHz,1982088714641,1.33,786671.73 msec,6.171,1487179505230,1.890 GHz,61,1485331630753,18802573788,786676.45 msec,6.171,1807 C,387789165608,2401733151,0.62%,0,331828492956,3538999,3538999,0,6347239905,2598506197,40.939,617922404263,6950794275,1.12%,351175480,134463809,38.29%,648226883,617637581976,21034297,0.00%,21254169,226754577,1066.87%,0,187
6,Python 3.6.15,binarytrees.py 21,1.00,0.75,0.34,0.17,0.02,0.47,3.15,1.34,0.01,3.69,1.00,126338768205 ns,1477046127095,1.886 GHz,1980472687234,1.34,783232.44 msec,6.199,1477194266358,1.886 GHz,45,1478826320029,18722362302,783237.03 msec,6.199,1849 C,387734259207,2160103337,0.56%,0,332047842532,3539054,3539054,0,6480959529,2595776973,40.052,618266648611,7288494137,1.18%,351701163,137429451,39.08%,616742148,617990175935,16626116,0.00%,3668719,224850307,6128.85%,0,208
7,Python 3.6.15,binarytrees.py 21,1.00,0.74,0.34,0.17,0.02,0.47,3.16,1.35,0.01,3.56,1.00,127739173077 ns,1486426761707,1.891 GHz,2002538907151,1.35,786179.95 msec,6.155,1486265283883,1.890 GHz,58,1484303526626,18791954439,786184.90 msec,6.155,1741 C,393019063013,2194249808,0.56%,0,331895390065,3539015,3539015,0,6513353896,2602741211,39.960,621504646468,7104005090,1.14%,350373884,130818674,37.34%,584834426,621478816455,17177608,0.00%,5863160,224194140,3823.78%,0,190
8,Python 3.6.15,binarytrees.py 21,1.00,0.74,0.34,0.17,0.02,0.47,3.15,1.34,0.01,3.56,1.00,127486419994 ns,1488695193033,1.895 GHz,2001910504305,1.35,785620.07 msec,6.162,1488663071859,1.895 GHz,69,1483397655130,18780405345,785625.18 msec,6.162,1719 C,392890203617,2281301426,0.58%,0,331947946544,3538982,3538982,0,6279298384,2627242680,41.840,621502038557,7067909546,1.14%,338934026,132769381,39.17%,640611719,621380864888,17058196,0.00%,2744277,225221345,8206.95%,0,215
9,Python 3.6.15,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.16,1.35,0.01,3.54,1.00,128313356240 ns,1494895277862,1.893 GHz,2023950155800,1.35,789831.80 msec,6.155,1494625570034,1.892 GHz,39,1491566881503,18881191998,789836.23 msec,6.156,1819 C,397749188954,2174427605,0.55%,0,331575317089,3539040,3539040,0,6740002522,2595740217,38.512,624658285086,7086026508,1.13%,375817844,135778602,36.13%,636439661,624835002889,16236098,0.00%,2516958,228389996,9074.05%,0,219
10,Python 3.6.15,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.17,1.35,0.01,3.46,1.00,132107842979 ns,1474807685261,1.888 GHz,1991878202729,1.35,781332.26 msec,5.914,1474895373209,1.888 GHz,725,1474813448647,18669899897,781348.28 msec,5.914,1784 C,390433139489,2187324817,0.56%,0,331818304576,3538987,3538987,0,6771117624,2870433775,42.392,620343306046,7167116182,1.16%,374926766,146941927,39.19%,772325753,619581413774,18090360,0.00%,5134248,226018043,4402.16%,0,950
