version,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,
Python 2.5.6,fibonacci_oldVersions.py 507000,0,1690393575,530911,python,172956,165808,3676,68.8,1.0,358,2,307,49,0,18.9,9.8,0.0,71.2,0.0,0.0,0.0,0.0,15795.0 MiB,11435.4 MiB,3226.2 MiB,1133.4 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,11936.7 MiB
Python 2.5.6,fibonacci_oldVersions.py 507000,1,1690393576,530911,python,2056420,2.0g,3676,93.8,12.7,358,2,307,49,0,7.0,7.0,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,9592.9 MiB,5068.5 MiB,1133.6 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,10094.2 MiB
Python 2.5.6,fibonacci_oldVersions.py 507000,2,1690393578,530911,python,3986692,3.8g,3676,93.3,24.6,358,2,307,49,0,9.4,3.9,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,7711.5 MiB,6956.9 MiB,1126.6 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,8212.8 MiB
Python 2.5.6,fibonacci_oldVersions.py 507000,3,1690393579,530911,python,5933792,5.7g,3676,100.0,36.6,358,2,307,49,0,8.6,5.5,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5805.3 MiB,8863.1 MiB,1126.6 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,6306.6 MiB
Python 2.5.6,fibonacci_oldVersions.py 507000,4,1690393580,530911,python,7890464,7.5g,3676,100.0,48.7,358,2,307,49,0,10.2,3.1,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,3891.1 MiB,10777.2 MiB,1126.6 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,4392.5 MiB
Python 2.5.6,fibonacci_oldVersions.py 507000,5,1690393581,530911,python,9860180,9.4g,3676,93.8,60.9,358,2,307,49,0,8.7,4.7,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,1963.5 MiB,12704.9 MiB,1126.6 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,2464.8 MiB
Python 2.5.6,fibonacci_oldVersions.py 507000,6,1690393582,530911,python,11.1g,10.9g,3676,93.8,70.9,358,3,306,49,0,10.5,4.5,0.0,85.0,0.0,0.0,0.0,0.0,15795.0 MiB,227.6 MiB,14440.7 MiB,1126.6 MiB,4096.0 MiB,2353.7 MiB,1742.2 MiB,729.0 MiB
