test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,1.8.0_382,binarytrees.java 21,1.00,1.09,0.24,0.07,0.01,0.71,3.46,0.85,0.03,10.57,2.00,2905459576 ns,64891666055,3.555 GHz,58356557628,0.89,18253.99 msec,6.283,65473182848,3.587 GHz,381,32779044361,416597334,18254.87 msec,6.283,772 C,9980331827,36439249,0.37%,0,12072164818,269179,269026,8,823851076,638008190,77.442,14578338311,467262755,3.21%,34439029,23517045,68.29%,11748332,14444278763,6434771,0.04%,37218,176016,472.93%,0,0
2,1.8.0_382,binarytrees.java 21,1.00,1.07,0.24,0.08,0.01,0.68,3.47,0.88,0.03,10.73,2.00,2911111329 ns,66656587705,3.603 GHz,58736682219,0.88,18498.86 msec,6.355,67084226770,3.626 GHz,365,33605197505,419958049,18499.83 msec,6.355,636 C,10022929406,37088113,0.37%,0,12048113379,274195,274034,8,836300145,621819028,74.354,14375346597,450254620,3.13%,30117121,17586342,58.39%,11458208,14811767566,6592644,0.04%,48814,260902,534.48%,0,0
3,1.8.0_382,binarytrees.java 21,1.00,1.07,0.24,0.08,0.01,0.68,3.39,0.87,0.04,10.69,2.00,2990766043 ns,67288937911,3.585 GHz,58525066362,0.87,18771.13 msec,6.276,67160665084,3.578 GHz,373,33669258799,427630658,18772.03 msec,6.277,468 C,10112009748,36943804,0.37%,0,11859847866,300713,300564,8,797371030,617037095,77.384,14477490688,460264730,3.18%,28926946,19400333,67.07%,10282580,14902977706,6451763,0.04%,23252,137090,589.58%,0,0
4,1.8.0_382,binarytrees.java 21,0.99,1.03,0.25,0.09,0.01,0.67,3.26,0.86,0.04,10.18,1.95,2964404815 ns,64963043543,3.477 GHz,57471422598,0.88,18684.69 msec,6.303,65051158774,3.481 GHz,378,33579508184,424170413,18685.59 msec,6.303,393 C,9806099621,38311306,0.39%,0,12303629289,283049,282887,8,863925163,640844741,74.178,14491376754,458209811,3.16%,28967447,19408312,67.00%,12623086,14694559357,6533014,0.04%,152131,203028,133.46%,0,0
5,1.8.0_382,binarytrees.java 21,0.99,1.01,0.26,0.09,0.01,0.65,3.34,0.89,0.05,9.83,1.90,3055484145 ns,64462018237,3.384 GHz,57828171537,0.89,19048.98 msec,6.234,64645179450,3.394 GHz,421,33869961642,427750827,19049.94 msec,6.235,392 C,10042545308,37530543,0.37%,0,11915304674,299385,299225,12,842189880,626069235,74.338,14832446661,465595270,3.14%,27960917,18851339,67.42%,11000185,15309486599,6620085,0.04%,196632,169494,86.20%,0,298
6,1.8.0_382,binarytrees.java 21,0.99,1.01,0.26,0.09,0.01,0.64,3.41,0.95,0.04,10.50,1.86,3027993144 ns,64327359465,3.311 GHz,58492657091,0.91,19427.17 msec,6.416,64107119844,3.300 GHz,414,34518458904,438394251,19428.10 msec,6.416,328 C,9787093382,33641295,0.34%,0,12226646720,292202,292042,8,845203457,620958119,73.468,14804162123,447629220,3.02%,26745265,18479089,69.09%,12169835,14686879117,6724152,0.05%,152725,227324,148.85%,0,0
7,1.8.0_382,binarytrees.java 21,0.99,1.03,0.26,0.09,0.01,0.65,3.34,0.95,0.04,10.41,1.84,3024303438 ns,64714306626,3.311 GHz,60017947833,0.93,19546.43 msec,6.463,65296946861,3.341 GHz,376,35449666758,442999829,19547.24 msec,6.463,326 C,9719233756,32478692,0.33%,0,12011077568,297587,297431,8,859808084,603451794,70.184,14542433818,452627015,3.11%,28487075,19502703,68.46%,10111585,14686267448,6854393,0.05%,32727,155206,474.24%,0,0
8,1.8.0_382,binarytrees.java 21,0.99,1.07,0.25,0.09,0.01,0.63,3.28,0.93,0.04,10.07,1.82,3078828189 ns,63939752110,3.266 GHz,59672410594,0.94,19578.61 msec,6.359,63800837347,3.259 GHz,448,35191609578,444523376,19579.49 msec,6.359,325 C,10159925724,37482940,0.37%,0,12592484043,272938,272772,8,931640967,645775961,69.316,14871999236,479570395,3.22%,29929299,19844205,66.30%,9837104,14564063605,6268092,0.04%,90922,215061,236.53%,0,4
9,1.8.0_382,binarytrees.java 21,0.99,1.03,0.26,0.09,0.01,0.65,3.31,0.93,0.04,9.40,1.79,3128890787 ns,63934071589,3.178 GHz,60063846333,0.93,20117.91 msec,6.430,64168892043,3.190 GHz,343,35974759057,454636059,20118.78 msec,6.430,321 C,10307339980,40176971,0.39%,0,12271588374,311199,311056,8,927897486,636043566,68.547,15239719092,492143958,3.23%,28601787,18354714,64.17%,9868801,15229147674,6634817,0.04%,131893,243666,184.75%,0,0
10,1.8.0_382,binarytrees.java 21,0.99,1.06,0.26,0.09,0.01,0.65,3.42,0.94,0.03,9.38,1.77,3134384255 ns,63266193773,3.152 GHz,60612779320,0.96,20072.13 msec,6.404,63767827369,3.177 GHz,421,36045258236,458114644,20073.10 msec,6.404,311 C,10404961966,41360154,0.40%,0,12453304650,283174,283002,13,938912396,646782311,68.886,15497693814,492337693,3.18%,29928351,18488626,61.78%,16344753,15021703898,6843619,0.05%,441685,428971,97.12%,0,10
