test,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,
1,g++-4.4 4.4.7,binaryTrees_2.c 21,0,1695196336,2784391,binaryTrees_2_g,0:00.17,202612,199436,2940,100.0,1.2,1,1,0:00,0,4,196680,0,48k,0,199436,319,2,279,38,0,9.1,5.3,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,4279.7 MiB,2130.4 MiB,9384.8 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12954.8 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,1,1695196337,2784391,binaryTrees_2_g,0:01.33,268480,265172,2940,93.8,1.6,1,1,0:01,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,4208.1 MiB,2201.8 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12883.2 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,2,1695196338,2784391,binaryTrees_2_g,0:02.51,268480,265172,2940,100.0,1.6,1,5,0:02,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,4208.1 MiB,2201.8 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12883.2 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,3,1695196339,2784391,binaryTrees_2_g,0:03.68,268480,265172,2940,100.0,1.6,1,5,0:03,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,4208.1 MiB,2201.8 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12883.2 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,4,1695196341,2784391,binaryTrees_2_g,0:04.85,268480,265172,2940,100.0,1.6,1,5,0:04,0,4,262548,0,64k,0,265172,319,2,279,38,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15794.9 MiB,4207.6 MiB,2202.3 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12882.7 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,5,1695196342,2784391,binaryTrees_2_g,0:06.03,268480,265172,2940,100.0,1.6,1,1,0:06,0,4,262548,0,64k,0,265172,319,2,279,38,0,12.3,1.5,0.0,86.2,0.0,0.0,0.0,0.0,15794.9 MiB,4207.3 MiB,2202.6 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12882.5 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,6,1695196343,2784391,binaryTrees_2_g,0:07.20,268480,265172,2940,100.0,1.6,1,1,0:07,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,4206.8 MiB,2203.1 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12882.0 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,7,1695196344,2784391,binaryTrees_2_g,0:08.37,268480,265172,2940,100.0,1.6,1,1,0:08,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,4207.3 MiB,2202.6 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12882.5 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,8,1695196345,2784391,binaryTrees_2_g,0:09.54,268480,265172,2940,93.8,1.6,1,1,0:09,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15794.9 MiB,4212.7 MiB,2197.1 MiB,9385.0 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12887.9 MiB
1,g++-4.4 4.4.7,binaryTrees_2.c 21,9,1695196346,2784391,binaryTrees_2_g,0:10.71,268480,265172,2940,100.0,1.6,1,1,0:10,0,4,262548,0,64k,0,265172,319,2,279,38,0,13.1,0.0,0.0,86.9,0.0,0.0,0.0,0.0,15794.9 MiB,4207.3 MiB,2202.4 MiB,9385.1 MiB,4096.0 MiB,3452.5 MiB,643.5 MiB,12882.5 MiB
